"Molecule","Canonical SMILES","Formula","MW","#Heavy atoms","#Aromatic heavy atoms","Fraction Csp3","#Rotatable bonds","#H-bond acceptors","#H-bond donors","MR","TPSA","iLOGP","XLOGP3","WLOGP","MLOGP","Silicos-IT Log P","Consensus Log P","ESOL Log S","ESOL Solubility (mg/ml)","ESOL Solubility (mol/l)","ESOL Class","Ali Log S","Ali Solubility (mg/ml)","Ali Solubility (mol/l)","Ali Class","Silicos-IT LogSw","Silicos-IT Solubility (mg/ml)","Silicos-IT Solubility (mol/l)","Silicos-IT class","GI absorption","BBB permeant","Pgp substrate","CYP1A2 inhibitor","CYP2C19 inhibitor","CYP2C9 inhibitor","CYP2D6 inhibitor","CYP3A4 inhibitor","log Kp (cm/s)","Lipinski #violations","Ghose #violations","Veber #violations","Egan #violations","Muegge #violations","Bioavailability Score","PAINS #alerts","Brenk #alerts","Leadlikeness #violations","Synthetic Accessibility"
"Molecule 1","CCCCCCCCCCCCCC(=O)O","C14H28O2",228.37,16,0,0.93,12,2,1,71.18,37.3,3.32,6.11,4.77,3.69,4.37,4.45,-4.31,0.0111,4.86e-05,"Moderately soluble",-6.67,4.83e-05,2.11e-07,"Poorly soluble",-4.51,0.00712,3.12e-05,"Moderately soluble","High","Yes","No","Yes","No","No","No","No",-3.35,0,0,1,0,1,0.85,0,0,3,2.09
"Molecule 2","CCCCCCCC=O","C8H16O",128.21,9,0,0.88,6,1,0,40.77,17.07,2.29,2.72,2.55,2.07,2.45,2.42,-1.95,1.43,0.0112,"Very soluble",-2.73,0.238,0.00185,"Soluble",-2.6,0.318,0.00248,"Soluble","High","Yes","No","No","No","No","No","No",-5.15,0,1,0,0,2,0.55,0,1,1,1.43
"Molecule 3","CC(=CCCC(=O)C)CCC=C(C)C","C13H22O",194.31,14,0,0.62,6,1,0,63.86,17.07,3.21,3.7,4.05,3.34,3.82,3.62,-2.98,0.204,0.00105,"Soluble",-3.75,0.0346,0.000178,"Soluble",-3.18,0.128,0.000661,"Soluble","High","Yes","No","No","No","No","No","No",-4.86,0,0,0,0,2,0.55,0,1,2,3
"Molecule 4","OCc1ccccc1","C7H8O",108.14,8,6,0.14,1,1,1,32.57,20.23,1.66,1.1,1.03,1.54,1.74,1.41,-1.69,2.2,0.0203,"Very soluble",-1.12,8.25,0.0763,"Very soluble",-2.16,0.746,0.0069,"Soluble","High","Yes","No","Yes","No","No","No","No",-6.18,0,3,0,0,2,0.55,0,0,1,1
"Molecule 5","COC(=O)c1ccccc1O","C8H8O3",152.15,11,6,0.12,2,3,1,39.74,46.53,2.03,2.55,1.18,1.32,1.21,1.66,-2.66,0.332,0.00218,"Soluble",-3.17,0.102,0.000669,"Soluble",-1.88,2,0.0132,"Soluble","High","Yes","No","No","No","No","No","No",-5.42,0,3,0,0,1,0.55,0,0,1,1.11
"Molecule 6","CC(=C)C1CCC(=C)C(C1)O","C10H16O",152.23,11,0,0.6,1,1,1,48.28,20.23,2.32,2.3,2.28,2.2,2.34,2.29,-2.17,1.04,0.00681,"Soluble",-2.36,0.66,0.00434,"Soluble",-1.71,2.94,0.0193,"Soluble","High","Yes","No","No","No","No","No","No",-5.6,0,1,0,0,2,0.55,0,1,1,2.76
"Molecule 7","CCC=CCC=O","C6H10O",98.14,7,0,0.5,3,1,0,30.68,17.07,1.61,1.13,1.54,1.28,1.41,1.39,-0.96,10.7,0.109,"Very soluble",-1.08,8.12,0.0827,"Very soluble",-1.03,9.1,0.0927,"Soluble","High","Yes","No","No","No","No","No","No",-6.1,0,3,0,0,2,0.55,0,2,1,2.57
"Molecule 8","CCCCCCC/C=C/C=O","C10H18O",154.25,11,0,0.7,7,1,0,49.91,17.07,2.67,3.69,3.1,2.59,3.14,3.04,-2.66,0.338,0.00219,"Soluble",-3.74,0.0281,0.000182,"Soluble",-2.72,0.295,0.00191,"Soluble","High","Yes","No","No","No","No","No","No",-4.62,0,1,0,0,2,0.55,0,2,2,2.4
"Molecule 9","Oc1ccccc1O","C6H6O2",110.11,8,6,0,0,2,2,30.49,40.46,1.13,0.88,1.1,0.79,0.94,0.97,-1.63,2.57,0.0233,"Very soluble",-1.31,5.34,0.0485,"Very soluble",-1.18,7.21,0.0655,"Soluble","High","Yes","No","No","No","No","No","Yes",-6.35,0,3,0,0,1,0.55,1,1,1,1
"Molecule 10","CCCCCC(=O)C","C7H14O",114.19,8,0,0.86,4,1,0,35.96,17.07,2.09,1.98,2.16,1.74,1.86,1.97,-1.53,3.36,0.0294,"Very soluble",-1.96,1.24,0.0109,"Very soluble",-2.17,0.781,0.00684,"Soluble","High","Yes","No","No","No","No","No","No",-5.59,0,2,0,0,2,0.55,0,0,1,1.33
